﻿﻿﻿﻿﻿﻿ Drive: 0.5261759192817694  DrivePosErr: 0.6812271156311036 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.20223562226474287  RotPosErr: -0.317556095123291 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.537868101600646  DrivePosErr: 0.7024032630920409 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.13100292861163632  RotPosErr: -0.2644501686096191 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.6054305950462351  DrivePosErr: 0.7336982765197755 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.1273350229370591  RotPosErr: -0.03076181709766388 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2780972799285879  DrivePosErr: 0.7024032630920409 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.3693985720336437  RotPosErr: -0.27664957046508787 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.20264652004776018  DrivePosErr: 0.6600189247131347 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.0216141767179967  RotPosErr: -0.06152276992797852 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.41575624600677485  DrivePosErr: 0.6600189247131347 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.3819425608193876  RotPosErr: -0.3073319435119629 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.0658410230827331  DrivePosErr: 0.5962028541564941 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.3742909966599941  RotPosErr: -0.34821481704711915 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.26861872206420945  DrivePosErr: 0.5748687782287598 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.8798126985418796  RotPosErr: -0.1537766456604004 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.1410811154121392  DrivePosErr: 0.5321113624572753 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.3140112184083461  RotPosErr: -0.19475488662719725 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.35582599472198484  DrivePosErr: 0.5321113624572753 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.6547195230233671  RotPosErr: -0.48081674575805666 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.29787131729965205  DrivePosErr: 0.5214035072326659 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.22527569751143459  RotPosErr: -0.48081674575805666 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3523491197357177  DrivePosErr: 0.5214035072326659 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.097854552103281  RotPosErr: -0.23571405410766602 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.41220012392349237  DrivePosErr: 0.5321113624572753 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.09317003944993031  RotPosErr: -0.19475488662719725 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.18276368350067185  DrivePosErr: 0.49996643447875977 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.9409362088906766  RotPosErr: -0.34821481704711915 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2853582539726256  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.651337498498708  RotPosErr: -0.010253240913152694 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.33988496860961914  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.4046193378265202  RotPosErr: 0.07177648544311524 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3407655956001282  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.43755146011546253  RotPosErr: 0.15377721786499024 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.34164622259063726  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.5810153716869652  RotPosErr: 0.25618581771850585 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.40155685858383194  DrivePosErr: 0.49996643447875977 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.0374838045100867  RotPosErr: 0.05126943588256836 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2897807015167235  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.149381856939346  RotPosErr: 0.2664183616638184 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.4623296562965392  DrivePosErr: 0.5106887855529785 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.8634995484142005  RotPosErr: -0.09227991104125977 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.41494130883026104  DrivePosErr: 0.5214035072326659 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.607511079236418  RotPosErr: 0.03317556083202362 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.6011672565605164  DrivePosErr: 0.564818576812744 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.8081339424310625  RotPosErr: -0.11278085708618164 ﻿
